message;severity;node;stamp;location 
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102483])";"30";"turtlesim1.sim";"1697180088.271482947";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105555])";"30";"turtlesim3.sim";"1697180088.270779000";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106067])";"30";"turtlesim2.sim";"1697180088.268636884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102995])";"30";"turtlesim1.sim";"1697180088.256710495";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106067])";"30";"turtlesim3.sim";"1697180088.255271358";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106579])";"30";"turtlesim2.sim";"1697180088.253001822";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.103507])";"30";"turtlesim1.sim";"1697180088.241556732";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106579])";"30";"turtlesim3.sim";"1697180088.239289942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107091])";"30";"turtlesim2.sim";"1697180088.236364262";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104019])";"30";"turtlesim1.sim";"1697180088.224100357";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107091])";"30";"turtlesim3.sim";"1697180088.222967368";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107603])";"30";"turtlesim2.sim";"1697180088.220701968";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104531])";"30";"turtlesim1.sim";"1697180088.209887144";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107603])";"30";"turtlesim3.sim";"1697180088.207240720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108115])";"30";"turtlesim2.sim";"1697180088.204676544";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105043])";"30";"turtlesim1.sim";"1697180088.192874199";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108115])";"30";"turtlesim3.sim";"1697180088.191214896";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108627])";"30";"turtlesim2.sim";"1697180088.189048744";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105555])";"30";"turtlesim1.sim";"1697180088.176010516";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108627])";"30";"turtlesim3.sim";"1697180088.174571046";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109139])";"30";"turtlesim2.sim";"1697180088.172838698";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106067])";"30";"turtlesim1.sim";"1697180088.161422285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109139])";"30";"turtlesim3.sim";"1697180088.159047355";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109651])";"30";"turtlesim2.sim";"1697180088.156882589";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.106579])";"30";"turtlesim1.sim";"1697180088.143847818";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109651])";"30";"turtlesim3.sim";"1697180088.142566337";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110163])";"30";"turtlesim2.sim";"1697180088.140771056";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107091])";"30";"turtlesim1.sim";"1697180088.128769196";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110163])";"30";"turtlesim3.sim";"1697180088.126638475";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110675])";"30";"turtlesim2.sim";"1697180088.125021404";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.107603])";"30";"turtlesim1.sim";"1697180088.111437414";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110675])";"30";"turtlesim3.sim";"1697180088.111319703";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111187])";"30";"turtlesim2.sim";"1697180088.108262580";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108115])";"30";"turtlesim1.sim";"1697180088.096414606";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111187])";"30";"turtlesim3.sim";"1697180088.094696858";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111699])";"30";"turtlesim2.sim";"1697180088.092600375";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.108627])";"30";"turtlesim1.sim";"1697180088.079737568";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111699])";"30";"turtlesim3.sim";"1697180088.078973361";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112211])";"30";"turtlesim2.sim";"1697180088.076433304";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109139])";"30";"turtlesim1.sim";"1697180088.064805663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112211])";"30";"turtlesim3.sim";"1697180088.063051905";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112723])";"30";"turtlesim2.sim";"1697180088.060661464";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.109651])";"30";"turtlesim1.sim";"1697180088.048029347";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112723])";"30";"turtlesim3.sim";"1697180088.047169736";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113235])";"30";"turtlesim2.sim";"1697180088.044852661";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110163])";"30";"turtlesim1.sim";"1697180088.031728164";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113235])";"30";"turtlesim3.sim";"1697180088.031248417";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113747])";"30";"turtlesim2.sim";"1697180088.028975432";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.110675])";"30";"turtlesim1.sim";"1697180088.016274871";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113747])";"30";"turtlesim3.sim";"1697180088.014748135";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.106170, y=6.114259])";"30";"turtlesim2.sim";"1697180088.012618566";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111187])";"30";"turtlesim1.sim";"1697180088.002272594";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.106170, y=6.114259])";"30";"turtlesim3.sim";"1697180087.999209584";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.111699])";"30";"turtlesim1.sim";"1697180087.984426161";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112211])";"30";"turtlesim1.sim";"1697180087.967660786";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.112723])";"30";"turtlesim1.sim";"1697180087.951755581";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113235])";"30";"turtlesim1.sim";"1697180087.935665542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.113747])";"30";"turtlesim1.sim";"1697180087.920388179";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.106170, y=6.114259])";"30";"turtlesim1.sim";"1697180087.903733928";"./src/turtle.cpp:update:260"
